,product_id,product_name,discounted_price,actual_price,rating,rating_count,main category,sub category,discount_percentage %,quality of product
548,B08M66K48D,"POPIO Tempered Glass Screen Protector Compatible for iPhone 12 / iPhone 12 Pro with Case Friendly Edge to Edge Coverage and Easy Installation kit, Pack of 1",299.0,599.0,4.3,4674.0,Electronics,"Maintenance,Upkeep&Repairs",50.0,excellent
555,B0B1NX6JTN,Spigen Ultra Hybrid Back Cover Case Compatible with iPhone 14 Pro max (TPU + Poly Carbonate | Crystal Clear),1599.0,2599.0,4.3,1801.0,Electronics,Cases&Covers,38.0,excellent
556,B078G6ZF5Z,"Oraimo 18W USB & Type-C Dual Output Super Fast Charger Wall Adapter PE2.0&Quick Charge 3.0 & Power Delivery 3.0 Compatible for iPhone 13/13 Mini/13 Pro Max/12/12 Pro Max, iPad Mini/Pro, Pixel, Galaxy, Airpods Pro",699.0,1199.0,4.0,14404.0,Electronics,Chargers,42.0,excellent
557,B0BBW521YC,"LAPSTER 12pcs Spiral Cable Protectors for Charger, Wires, Data Charger Cable Protector for Computers, Cell Phones etc.(Grey)",99.0,999.0,4.4,305.0,Electronics,Décor,90.0,excellent
560,B09BF8JBWX,"Lava A1 Josh 21(Blue Silver) -Dual Sim,Call Blink Notification,Military Grade Certified with 4 Day Battery Backup, Keypad Mobile",1055.0,1249.0,3.8,2352.0,Electronics,BasicMobiles,16.0,very good
561,B0B5YBGCKD,"POPIO Tempered Glass Compatible for iPhone 13 / iPhone 13 Pro/iPhone 14 (Transparent) Edge to Edge Full Screen Coverage with Installation Kit, Pack of 2",150.0,599.0,4.3,714.0,Electronics,"Maintenance,Upkeep&Repairs",75.0,excellent
562,B01GGKYKQM,"Amazon Basics USB Type-C to USB-A 2.0 Male Fast Charging Cable for Laptop - 3 Feet (0.9 Meters), Black",219.0,700.0,4.3,20052.0,Computers&Accessories,Cables,69.0,excellent
563,B09MY4W73Q,Amozo Ultra Hybrid Camera and Drop Protection Back Cover Case for iPhone 13 (Polycarbonate| Back Transparent - Sides Black),474.0,1799.0,4.3,1454.0,Electronics,Cases&Covers,74.0,excellent
565,B09T37CKQ5,"FLiX Usb Charger,Flix (Beetel) Bolt 2.4 Dual Poart,5V/2.4A/12W Usb Wall Charger Fast Charging,Adapter For Android/Iphone 11/Xs/Xs Max/Xr/X/8/7/6/Plus,Ipad Pro/Air 2/Mini 3/4,Samsung S4/S5 & More-Black",239.0,599.0,3.9,2147.0,Electronics,Chargers,60.0,very good
571,B0B9BXKBC7,"WeCool S5 Long Selfie Stick, with Large Reinforced Tripod Stand up to 61 Inch / 156 Cms, Ultra Long Multi Function Bluetooth Selfie Stick with 1/4 Screw Compatible with Gopro, Camera, and Ring Light",1799.0,3999.0,4.6,245.0,Electronics,Photo&VideoAccessories,55.0,excellent
575,B09VGKFM7Y,Amazon Basics 2 Amp USB Wall Charger & Micro USB Cable (White),219.0,499.0,4.4,14.0,Electronics,Chargers,56.0,excellent
576,B07QCWY5XV,"Mobilife Bluetooth Extendable Selfie Stick with Tripod Stand and Wireless Remote,3-in-1 Multifunctional Selfie Stick Tripod for iPhone Samsung Mi Realme Oppo Vivo Google More,Black",599.0,1399.0,4.1,14560.0,Electronics,Photo&VideoAccessories,57.0,excellent
577,B098QXR9X2,"Ambrane 27000mAh Power Bank, 20W Fast Charging, Triple Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo Pro, Black)",2499.0,2999.0,4.1,3156.0,Electronics,Chargers,17.0,excellent
578,B07H1S7XW8,"STRIFF Wall Mount Phone Holder Wall Mount with Adhesive Strips, Charging Holder Compatible with iPhone, Smartphone and Mini Tablet (Pack of 1) (White)",89.0,499.0,4.1,9340.0,Electronics,Mounts,82.0,excellent
580,B088ZFJY82,"Elv Aluminium Adjustable Mobile Phone Foldable Holder Tabletop Stand Dock Mount for All Smartphones, Tabs, Kindle, iPad (Moonlight Silver)",314.0,1499.0,4.5,28978.0,Electronics,Stands,79.0,excellent
582,B09BCNQ9R2,"DYAZO USB 3.0 Type C Female to USB A Male Connector/Converter/Adapter Compatible for Samsung Galaxy Note s 20 10 Plus Ultra,Google Pixel 4 5 3 2 & Other Type-c Devices",139.0,499.0,4.2,4971.0,Electronics,Cables&Adapters,72.0,excellent
583,B0B9BD2YL4,"KINGONE Wireless Charging Pencil (2nd Generation) for iPad with Magnetic and Tilt Sensitive, Palm Rejection, Compatible with Apple iPad Pro 11 inch 1/2/3/4, iPad Pro 12.9 Inch 3/4/5/6, iPad Air 4/5, mini6",2599.0,6999.0,4.5,1526.0,Electronics,StylusPens,63.0,excellent
590,B09CTRPSJR,"Storio Kids Toys LCD Writing Tablet 8.5Inch E-Note Pad Best Birthday Gift for Girls Boys, Multicolor (SC1667)",217.0,237.0,3.8,7354.0,Computers&Accessories,GraphicTablets,8.0,very good
592,B0B72BSW7K,SKE Bed Study Table Portable Wood Multifunction Laptop-Table Lapdesk for Children Bed Foldabe Table Work with Tablet Slot & Cup Holder Brown Black,263.0,699.0,3.5,690.0,Computers&Accessories,Lapdesks,62.0,very good
596,B07XCM6T4N,STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black),349.0,1499.0,4.3,24791.0,Computers&Accessories,NotebookComputerStands,77.0,excellent
597,B07T5DKR5D,"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Black)",149.0,399.0,3.5,21764.0,Electronics,In-Ear,63.0,very good
602,B08W56G1K9,LAPSTER Spiral Charger Spiral Charger Cable Protectors for Wires Data Cable Saver Charging Cord Protective Cable Cover Set of 3 (12 Pieces),99.0,999.0,4.1,8751.0,Computers&Accessories,CableConnectionProtectors,90.0,excellent
603,B07WG8PDCW,"pTron Bullet Pro 36W PD Quick Charger, 3 Port Fast Car Charger Adapter - Compatible with All Smartphones & Tablets (Black)",349.0,1299.0,4.0,14283.0,Electronics,Chargers,73.0,excellent
606,B0B296NTFV,"Portronics Toad 23 Wireless Optical Mouse with 2.4GHz, USB Nano Dongle, Optical Orientation, Click Wheel, Adjustable DPI(Black)",299.0,599.0,4.1,1597.0,Computers&Accessories,Mice,50.0,excellent
610,B00ZYLMQH0,Dell KB216 Wired Multimedia USB Keyboard with Super Quite Plunger Keys with Spill-Resistant – Black,549.0,1799.0,4.3,28829.0,Computers&Accessories,Keyboards,69.0,excellent
612,B01HJI0FS2,"Dell MS116 1000Dpi USB Wired Optical Mouse, Led Tracking, Scrolling Wheel, Plug and Play.",299.0,650.0,4.5,33176.0,Computers&Accessories,Mice,54.0,excellent
616,B07KCMR8D6,Classmate Octane Neon- Blue Gel Pens(Pack of 5)|Smooth Writing Pen|Attractive body colour for Boys & Girls|Waterproof ink for smudge free writing|Preferred by Students for Exam|Study at home essential,50.0,50.0,4.3,5792.0,OfficeProducts,Stationery,0.0,excellent
617,B00N1U9AJS,"3M Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, Car Interiors, Extension Boards, Wall decoration, etc)(L: 3m, W: 24mm)",130.0,165.0,3.9,14778.0,Home&Kitchen,Tape,21.0,very good
